Name,Country,Time,Version
Player5,United States,00:43:05,1.0.0
RedSlay9,United Kingdom,00:43:13,1.0.0
Flower2,China,00:43:38,1.0.0
SeriousChallenges,Germany,00:43:41,1.0.0
gymnast86,USA,00:43:47,1.0.0
LovelySirius,Canada,00:44:37,1.0.0
Vark,USA,00:44:56,1.0.0
TyTt,Taiwan,00:45:07,1.0.0
Qentiko,France,00:45:11,1.0.0
SlyZorua,Australia,00:45:14,1.0.0
Gorganim,USA,00:45:21,1.0.0
Echecetdame,France,00:46:15,1.0.0
Roms_abt,France,00:46:23,1.0.0
ikaboze,Japan,00:46:50,1.0.0
jinyoung,South Korea,00:47:08,1.0.0
ZSRoach,United States,00:47:29,1.2.0
BananaQuak,United States,00:47:38,1.2.0
Meuxes,Germany,00:47:42,1.0.0
XtremeBurritos,United States,00:47:59,1.0.0
vaho_66,Germany,00:48:01,1.0.0
zayloox,Dominican Republic,00:48:03,1.0.0
Wolhaiksong,Chile,00:48:06,1.0.0
TheRoolanderJr,USA,00:48:13,1.0.0
Gala,France,00:48:17,1.2.0
Uncle7,China,00:48:21,1.0.0
SirWilliamSSB,Spain,00:48:25,1.0.0
moistgoolash,Canada,00:48:37,1.0.0
huiwengege,China,00:48:39,1.0.0
MeltingTaco,USA,00:48:59,1.0.0
apple343,Australia,00:49:00,1.0.0
Nartax,France,00:49:01,1.2.0
PaleoMathSR,France,00:49:02,1.0.0
pui,Japan,00:49:08,1.0.0
McGyna,USA,00:49:38,1.0.0
Otamo,Guadeloupe,00:50:05,1.2.0
Saaichu,United Kingdom,00:50:09,1.0.0
thundy,USA,00:50:28,1.0.0
AxelLarsen,Sweden,00:50:29,1.0.0
wh55,Japan,00:50:31,1.2.0
Piccol_Link_,Japan,00:51:07,1.2.0
ouyangfeng,China,00:51:23,1.0.0
flee135,USA,00:51:32,1.2.0
famstreams,United States,00:51:46,1.0.0
Arna,France,00:51:50,1.2.0
FedoraJames,United States,00:51:51,1.2.0
PierreMK_,Belgium,00:52:06,1.0.0
NinjaESD,Qu�bec,00:52:10,1.2.0
clouded_,,00:52:15,1.1.1
FlavienSR,France,00:52:24,1.1.2
zfg,USA,00:52:26,1.0.0
an_egg_guy,Antarctica,00:52:37,1.1.1
LouLouCore,Canada,00:52:53,1.0.0
sledgenn,United Kingdom,00:53:06,1.1.2
mintius,Japan,00:53:07,1.0.0
ZiwakTOTK,France,00:53:21,1.0.0
ChallengeTime,Germany,00:53:49,1.0.0
WeDucko,United States,00:54:02,1.0.0
JTown2909,United States,00:54:13,1.0.0
TheEtherNetBoyz,United States,00:54:26,1.0.0
Zdi,Japan,00:54:57,1.0.0
m4ze87,France,00:54:57,1.1.0
pioneer237,United States,00:55:04,1.0.0
flamefire333,United States,00:55:07,1.2.0
Yochy09,France,00:55:08,1.2.0
TrevorSR,United States,00:55:24,1.1.2
bigboohbahs,United States,00:55:24,1.2.0
Joker1108,China,00:55:26,1.2.0
Onyx_Ebony,United States,00:55:27,1.1.1
mizu,Japan,00:55:28,1.0.0
makko,Japan,00:55:42,1.1.1
ano_rta,Japan,00:55:47,1.0.0
Timber_Wolf,USA,00:55:49,1.0.0
Mix3X,France,00:55:52,1.0.0
SaiyanCinq,France,00:55:58,1.0.0
mumiuni,Japan,00:56:05,1.0.0
Sin,United States,00:56:25,1.0.0
Uni1,Sweden,00:56:32,1.0.0
SiirZax,France,00:56:40,1.0.0
CrunchySpon,Portugal,00:56:41,1.0.0
Hauredar,France,00:56:41,1.0.0
Orcastraw,USA,00:56:46,1.0.0
Jugger,Germany,00:56:49,1.0.0
steikum,Japan,00:56:54,1.1.1
mendovo,Philippines,00:56:54,1.2.0
SpidersNRhap,Antarctica,00:56:56,1.0.0
Junjal,South Korea,00:56:56,1.2.0
rebeccaRbkkk,China,00:57:06,1.1.1
romulostx,Brazil,00:57:08,1.1.0
xercess,France,00:57:10,1.0.0
sva,Japan,00:57:19,1.1.1
Koreth,USA,00:57:28,1.1.1
5eil,Ireland,00:57:37,1.1.1
Laykityo,France,00:57:45,1.1.0
Zelkys,France,00:58:30,1.0.0
02chewy,Canada,00:58:50,1.2.0
Samura1man,Finland,00:58:51,1.1.1
Smith,USA,00:58:56,1.0.0
Mr_NaBLa,France,00:58:59,1.2.0
Limcube,Germany,00:59:05,1.0.0
JoYDawsBaws,USA,00:59:10,1.0.0
Aro_the_awesome,USA,00:59:12,1.0.0
joedun,United States,00:59:16,1.0.0
Luckstyle,Qu�bec,00:59:21,1.2.0
EpicVafentin,Hungary,00:59:33,1.0.0
IcyGamez,United States,00:59:33,1.0.0
RohanJ,France,00:59:33,1.2.0
SycarisDag,Australia,00:59:35,1.1.0
A_Badgr,United States,00:59:38,1.1.2
Ronano,France,00:59:38,1.1.1
SkeeliXx,France,00:59:42,1.0.0
denkiitsu,France,01:00:12,1.1.2
Tuber,Germany,01:00:17,1.0.0
SailorMoonQ,China,01:00:52,1.0.0
HEQINWANG,China,01:00:54,1.1.2
SenapiMelicoff,Mexico,01:01:02,1.0.0
DarkAnice,Netherlands,01:01:43,1.1.1
Dobrari,Sweden,01:01:45,1.1.1
timmitenergy,Germany,01:01:52,1.0.0
Severus_Jin,China,01:01:57,1.1.1
Cenndre1,France,01:02:00,1.1.2
rRubiks,United States,01:02:31,1.1.1
8yan,USA,01:02:44,1.0.0
naxy,,01:02:44,1.1.1
CJH4000,United States,01:02:44,1.0.0
Sprinkles,USA,01:02:57,1.0.0
HylianGhost,Guatemala,01:02:59,1.1.2
gtapanda129,USA,01:03:16,1.0.0
Taechuk,Qu�bec,01:03:16,1.1.2
ZrFelps,Brazil,01:03:18,1.1.1
Rqzz64,Brazil,01:03:23,1.1.1
CrownMK,France,01:03:34,1.2.0
zeunerts,Sweden,01:03:41,1.0.0
Xeryph,United States,01:03:48,1.1.1
IllDrin,China,01:04:04,1.0.0
Jasnix08,USA,01:04:16,1.1.2
Brayd3n,United States,01:04:30,1.0.0
Ninpalk,USA,01:04:46,1.0.0
DasJuwu,Germany,01:05:37,1.1.1
Elijah,USA,01:05:56,1.0.0
MonkeyMan849,USA,01:06:12,1.1.1
Isaias_1227,Basque Country,01:06:20,1.0.0
NotableCass,France,01:06:56,1.1.1
noooiirrrr,Mexico,01:07:07,1.1.1
microSR,United States,01:07:36,1.0.0
SurprisedPika,Scotland,01:08:18,1.1.1
SalmonBurt,Sweden,01:08:51,1.1.1
Kev4o,Germany,01:08:52,1.1.2
PikabooYT,Bahamas,01:09:00,1.1.1
PizzaIsGoed,,01:09:45,1.0.0
ALittleBitHarsh,United States,01:10:05,1.0.0
SomeRandomIdiot,USA,01:10:54,1.1.2
JGravastar,Mexico,01:11:14,1.0.0
Lett,France,01:11:39,1.0.0
MadPenguin,United States,01:11:41,1.1.1
Kiprhook,American Samoa,01:12:16,1.1.1
PlatinumPPG,USA,01:13:37,1.1.1
Bryandopoes,Netherlands,01:13:37,1.1.2
Nitsugua,France,01:13:38,1.2.0
PerchesInTheSoul,United States,01:13:57,1.2.0
TooGoodMules,,01:14:24,1.1.1
Vivoxe,England,01:14:55,1.1.1
ENDERMAN36,USA,01:14:56,1.1.1
PhazonTunic,USA,01:15:27,1.1.1
CodeMorio,Qu�bec,01:16:19,1.1.0
aoiyuzu,Japan,01:16:48,1.1.1
Sonicmaster_2022,USA,01:16:54,1.1.1
SolidAlias,United States,01:18:29,1.1.1
temosuki,France,01:18:45,1.2.0
Rhrakia,Japan,01:19:30,1.1.2
YTSMO_Boi,,01:21:14,1.1.1
Futurelander,United States,01:23:03,1.0.0
Fireworkspinner,USA,01:23:06,1.1.0
Tisnoc,France,01:24:25,1.2.0
SouthHill,Norway,01:24:29,1.2.0
blaz_bruh,Australia,01:25:15,1.0.0
Witt,USA,01:26:33,1.1.2
Grant_Cant_Run,USA,01:29:35,1.2.0
FireBlaze302,United States,01:30:59,1.1.0
boyom,United States,01:33:56,1.2.0
hunyjoa,South Korea,01:36:17,1.1.2
Dagster,Canada,01:36:40,1.1.2
Hot_David_,USA,01:39:59,1.1.1
JoobTheDude,USA,02:22:01,1.2.0
HappyTayls,United States,02:22:30,1.0.0
